Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
300.0:0.15:16.0:0.5,0.99985,0.74987,0.84091,0.76024,0.90783,0.9653,0.66667,0.70752,0.67045,0.6363,0.84217,0.68105,0.76167,0.87327,0.90255,0.85876,0.4642,0.3875,0.96685,0.67849
300.0:0.3:20.0:0.95,0.99985,0.74987,0.84091,0.76024,0.90783,0.9653,0.66667,0.70752,0.67045,0.6363,0.84217,0.68105,0.76167,0.87327,0.90255,0.85876,0.46934,0.3875,0.96685,0.67849
300.0:0.5:4.0:0.2,0.99963,0.74946,0.83958,0.75733,0.89783,0.96557,0.64111,0.72549,0.65076,0.63515,0.84644,0.67959,0.76333,0.87407,0.90426,0.85533,0.48906,0.315,0.96737,0.76129
300.0:0.7:8.0:0.7,0.99926,0.74946,0.83958,0.75733,0.89633,0.96557,0.64556,0.72255,0.64697,0.63515,0.84615,0.67959,0.76333,0.87373,0.90426,0.85533,0.50719,0.3175,0.96737,0.76129
300.0:0.95:12.0:0.35,0.9997,0.74946,0.83709,0.75919,0.905,0.95738,0.65444,0.72124,0.65758,0.62706,0.84387,0.68227,0.76467,0.87416,0.90536,0.85705,0.50259,0.35625,0.96669,0.7043
100.0:0.95:20.0:0.35,0.9997,0.74892,0.83837,0.76405,0.91133,0.96311,0.66,0.72092,0.65833,0.64076,0.84615,0.68334,0.76667,0.87796,0.90794,0.85838,0.52418,0.37875,0.96758,0.66774
150.0:0.95:16.0:0.2,0.99985,0.75013,0.83918,0.76171,0.90633,0.96421,0.67,0.72614,0.64848,0.64241,0.83932,0.68182,0.76767,0.87455,0.9052,0.85952,0.481,0.38458,0.96789,0.68925
250.0:0.95:12.0:0.35,0.99993,0.75013,0.83727,0.75838,0.90583,0.96311,0.62778,0.72484,0.66439,0.62657,0.84359,0.68073,0.761,0.8737,0.90125,0.85581,0.54555,0.36625,0.96731,0.73548
200.0:0.7:12.0:0.95,1,0.74664,0.83929,0.7591,0.907,0.96393,0.66778,0.71928,0.67197,0.63053,0.84815,0.6812,0.77967,0.87416,0.89983,0.85152,0.54579,0.34208,0.96776,0.70645
100.0:0.5:8.0:0.7,0.99978,0.75175,0.84149,0.76138,0.9065,0.96257,0.67444,0.72451,0.66439,0.64769,0.84929,0.68529,0.77967,0.87433,0.90894,0.85638,0.49989,0.33542,0.96791,0.66129
Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
100.0:0.3:4.0:0.5,0.99941,0.75,0.83918,0.76224,0.90883,0.97158,0.64333,0.70392,0.67576,0.65215,0.85385,0.69323,0.766,0.88436,0.91097,0.85867,0.60618,0.35292,0.96915,0.86129
100.0:0.5:8.0:0.95,0.99963,0.7504,0.84543,0.76443,0.91433,0.96749,0.69111,0.7098,0.66212,0.66254,0.84729,0.69271,0.77,0.88032,0.91474,0.86152,0.50295,0.27417,0.96911,0.85376
100.0:0.7:16.0:0.2,0.99926,0.75242,0.83791,0.76114,0.90467,0.96393,0.68444,0.71176,0.65833,0.6571,0.85556,0.69283,0.773,0.8819,0.91664,0.858,0.52903,0.35833,0.96921,0.85269
100.0:0.95:16.0:0.7,0.99956,0.75242,0.83594,0.76362,0.91,0.96721,0.67889,0.71797,0.66364,0.65132,0.85698,0.69112,0.762,0.88405,0.91492,0.86171,0.49483,0.31667,0.96886,0.85806
150.0:0.15:20.0:0.7,0.99941,0.75148,0.84358,0.76286,0.91633,0.96803,0.68222,0.7134,0.65758,0.64521,0.85328,0.69047,0.76233,0.88234,0.91043,0.8559,0.49029,0.32083,0.96871,0.85161
150.0:0.3:8.0:0.35,0.99978,0.75188,0.83999,0.76576,0.9125,0.96749,0.64111,0.71275,0.65909,0.65429,0.85242,0.68942,0.76633,0.8824,0.91225,0.85971,0.48194,0.35458,0.96855,0.86989
150.0:0.5:12.0:0.5,0.99978,0.75282,0.84659,0.76233,0.917,0.96721,0.67222,0.71013,0.67121,0.65182,0.85613,0.68983,0.77133,0.88227,0.91631,0.86124,0.56261,0.34083,0.96886,0.85269
150.0:0.7:4.0:0.35,0.99941,0.75013,0.84502,0.76233,0.902,0.96639,0.68222,0.70784,0.66894,0.65611,0.85356,0.69039,0.76433,0.88013,0.9086,0.86124,0.53807,0.30292,0.96865,0.85484
150.0:0.95:16.0:0.95,0.99956,0.7496,0.84427,0.76605,0.907,0.96885,0.68,0.70817,0.66515,0.64686,0.8547,0.6915,0.76467,0.88169,0.91341,0.86181,0.48972,0.33,0.96871,0.85484
200.0:0.15:8.0:0.2,0.99926,0.75013,0.84236,0.76238,0.90917,0.9653,0.66333,0.70784,0.67652,0.65512,0.83989,0.68959,0.77267,0.88117,0.91185,0.86162,0.5098,0.36042,0.96849,0.85269
200.0:0.3:12.0:0.2,0.99941,0.75054,0.84213,0.76443,0.9045,0.96667,0.67556,0.70948,0.66439,0.65198,0.85214,0.69053,0.76733,0.87993,0.91131,0.85886,0.52726,0.35,0.96931,0.84624
200.0:0.5:16.0:0.35,0.99956,0.75081,0.83924,0.76276,0.91167,0.96995,0.68889,0.70882,0.66894,0.64917,0.85897,0.69034,0.75667,0.88221,0.91534,0.85752,0.52157,0.29542,0.96894,0.86237
200.0:0.7:20.0:0.5,0.99948,0.75081,0.83854,0.76052,0.90783,0.96557,0.66778,0.7085,0.67045,0.65165,0.84758,0.68929,0.75633,0.88056,0.91291,0.8619,0.47685,0.32625,0.96911,0.85806
200.0:0.95:4.0:0.7,0.99956,0.74987,0.83385,0.76524,0.90517,0.96885,0.67111,0.70556,0.67197,0.65083,0.851,0.68949,0.76,0.88325,0.91199,0.8599,0.57791,0.30583,0.96824,0.85806
250.0:0.15:4.0:0.95,0.99978,0.75108,0.83623,0.76129,0.9035,0.96393,0.67333,0.71242,0.67348,0.65231,0.85071,0.68946,0.76833,0.88045,0.91424,0.85914,0.55261,0.34125,0.9682,0.85484
250.0:0.3:16.0:0.7,0.9997,0.75054,0.84282,0.76271,0.90833,0.96612,0.68,0.71405,0.67348,0.64191,0.83989,0.68741,0.76567,0.87746,0.91391,0.85762,0.43815,0.28125,0.96915,0.85054
250.0:0.5:20.0:0.2,0.99963,0.75067,0.83947,0.76652,0.90917,0.96913,0.66778,0.7098,0.65076,0.6434,0.84786,0.68881,0.768,0.88058,0.91331,0.85771,0.49085,0.31083,0.96838,0.85269
250.0:0.7:12.0:0.7,0.99956,0.75027,0.84282,0.75914,0.91417,0.9724,0.66222,0.70621,0.66515,0.64521,0.85299,0.68662,0.76667,0.88141,0.91102,0.86343,0.48609,0.30292,0.96884,0.85054
250.0:0.95:8.0:0.5,0.99926,0.74987,0.84531,0.76629,0.91433,0.9653,0.67,0.71144,0.67197,0.65446,0.85698,0.68765,0.75367,0.878,0.90972,0.85895,0.44903,0.31167,0.96888,0.84409
300.0:0.15:16.0:0.5,0.99941,0.74718,0.84433,0.76614,0.91017,0.96639,0.69667,0.70196,0.66742,0.64868,0.851,0.68856,0.773,0.87906,0.91462,0.85829,0.46275,0.3025,0.96925,0.86667
300.0:0.3:20.0:0.95,0.9997,0.74691,0.84439,0.76576,0.90967,0.96639,0.69111,0.70229,0.66818,0.64802,0.851,0.68873,0.775,0.87848,0.91462,0.85476,0.47543,0.29708,0.96925,0.86667
300.0:0.5:4.0:0.2,0.99919,0.75121,0.83675,0.7629,0.90517,0.96421,0.67889,0.71111,0.68258,0.65462,0.86211,0.68882,0.77133,0.87759,0.91139,0.85962,0.4781,0.30958,0.96871,0.84839
300.0:0.7:8.0:0.7,0.9997,0.75228,0.83987,0.76124,0.90817,0.96694,0.67222,0.70784,0.67045,0.64851,0.85128,0.68675,0.772,0.87854,0.91144,0.8601,0.44762,0.33167,0.96875,0.85914
300.0:0.95:12.0:0.35,0.9997,0.74866,0.83924,0.76186,0.90883,0.96339,0.67889,0.70752,0.6553,0.64406,0.84245,0.68931,0.75667,0.87859,0.91257,0.86181,0.47864,0.31542,0.96851,0.84839
100.0:0.95:20.0:0.35,1,0.74852,0.8375,0.76386,0.90767,0.96858,0.68333,0.70784,0.66136,0.65099,0.85926,0.69273,0.75633,0.88062,0.91313,0.85886,0.43485,0.33292,0.96871,0.86667
150.0:0.95:16.0:0.2,0.99956,0.75148,0.84207,0.76714,0.91367,0.96913,0.67444,0.70948,0.66742,0.64653,0.85328,0.68964,0.75467,0.87787,0.91321,0.86114,0.49029,0.30958,0.96871,0.87634
250.0:0.95:12.0:0.35,0.99933,0.74946,0.84259,0.76162,0.916,0.96667,0.67556,0.70556,0.66439,0.64059,0.85385,0.68719,0.775,0.88015,0.91349,0.8639,0.51297,0.33292,0.96871,0.84516
200.0:0.7:12.0:0.95,0.99948,0.7504,0.84601,0.76224,0.91117,0.96776,0.68,0.70686,0.67121,0.65066,0.85157,0.68898,0.76867,0.88336,0.91295,0.85895,0.55397,0.34458,0.96898,0.85161
100.0:0.5:8.0:0.7,0.99978,0.74919,0.84525,0.76438,0.92083,0.96585,0.67,0.7085,0.67879,0.65743,0.84387,0.69148,0.764,0.88305,0.91434,0.86057,0.52425,0.28042,0.96888,0.86237
Configuracion,Banknote,Blood,Car,Cardiotocography,Chart,Dermatology,Fertility,Haberman,Hayes,Hill,Ionosphere,Letter,Libras,Optdigits,Pen,QSARBiodegradation,Shuttle,SPECTF,Wilt,Zoo
30.0:30.0:-0.6:0.8:8.0:0.01:0.5:0.95:0.95:0.7:0.7:0.6,0.99956,0.74933,0.83924,0.76367,0.90767,0.96284,0.64667,0.72582,0.66439,0.63927,0.85014,0.68699,0.762,0.88327,0.9062,0.85743,0.47143,0.33125,0.96894,0.76237
30.0:45.0:-1.0:0.6:12.0:0.05:0.7:0.95:0.95:0.35:0.2:0.35,0.99978,0.74704,0.83953,0.76971,0.9105,0.96749,0.66889,0.7219,0.65682,0.64472,0.84501,0.69027,0.77367,0.88548,0.91189,0.86086,0.49613,0.3575,0.96906,0.6828
30.0:60.0:-0.8:0.2:3.0:0.2:0.95:0.2:0.5:0.2:0.2:0.35,0.99985,0.74691,0.83773,0.76433,0.91167,0.96503,0.67778,0.72255,0.65909,0.64026,0.84758,0.69112,0.763,0.88462,0.91494,0.86019,0.42351,0.34208,0.96948,0.72581
30.0:75.0:-0.4:1.0:12.0:0.01:0.2:0.2:0.35:0.2:0.95:0.1,1,0.74933,0.84097,0.76395,0.9085,0.9653,0.67667,0.7232,0.66061,0.6429,0.84217,0.68931,0.763,0.88594,0.91443,0.85648,0.50746,0.39542,0.96917,0.70323
30.0:90.0:-0.4:0.4:2.0:0.2:0.35:0.95:0.7:0.5:0.35:0.35,0.9997,0.74489,0.83819,0.76552,0.91067,0.96202,0.67778,0.7317,0.67727,0.65116,0.85442,0.69178,0.78133,0.88455,0.91494,0.86229,0.50089,0.31375,0.96981,0.75914
45.0:30.0:-0.2:0.4:12.0:0.2:0.35:0.35:0.5:0.5:0.2:0.1,1,0.74879,0.82627,0.75257,0.903,0.96421,0.65778,0.71569,0.66136,0.61733,0.85271,0.67168,0.75733,0.87206,0.89997,0.84886,0.51407,0.37458,0.96487,0.66022
45.0:45.0:-0.8:0.8:8.0:0.1:0.2:0.7:0.35:0.5:0.5:0.2,0.99985,0.74664,0.82807,0.75457,0.89433,0.96175,0.66111,0.72255,0.66515,0.60726,0.85271,0.66811,0.763,0.8695,0.89669,0.852,0.48626,0.32625,0.96559,0.63871
45.0:60.0:-0.6:0.6:5.0:0.4:0.35:0.7:0.5:0.7:0.95:0.2,0.99985,0.7496,0.83524,0.75576,0.89767,0.96038,0.65111,0.7232,0.67652,0.62129,0.84644,0.6727,0.759,0.87184,0.89309,0.84962,0.52254,0.39417,0.96613,0.64516
45.0:75.0:-1.0:0.8:2.0:0.2:0.95:0.35:0.2:0.95:0.5:0.6,0.9997,0.74906,0.83038,0.75186,0.88233,0.9612,0.66333,0.72418,0.66742,0.62343,0.85071,0.67085,0.739,0.87065,0.89806,0.8521,0.4923,0.37208,0.9659,0.68817
45.0:90.0:-0.4:0.2:8.0:0.05:0.7:0.5:0.95:0.95:0.95:0.85,0.99985,0.74745,0.82639,0.7539,0.89017,0.96858,0.69,0.72516,0.68333,0.60957,0.83875,0.66953,0.75867,0.87123,0.89381,0.85029,0.44259,0.29542,0.96592,0.7129
60.0:30.0:-0.8:1.0:2.0:0.4:0.35:0.5:0.35:0.35:0.2:0.85,0.99985,0.74745,0.82523,0.75414,0.888,0.96557,0.65444,0.71699,0.66288,0.6137,0.84416,0.66925,0.75167,0.87151,0.89123,0.85114,0.45191,0.33708,0.96565,0.69247
60.0:45.0:-0.6:1.0:3.0:0.05:0.95:0.35:0.7:0.7:0.95:0.85,0.9997,0.74919,0.84039,0.76157,0.91733,0.96557,0.63111,0.72255,0.66818,0.64686,0.84929,0.6921,0.765,0.88807,0.91187,0.8579,0.43446,0.35458,0.96888,0.73548
60.0:60.0:-0.4:0.8:12.0:0.05:0.2:0.5:0.5:0.95:0.35:0.6,0.99978,0.75027,0.82037,0.75176,0.9,0.96585,0.67222,0.72843,0.66136,0.61931,0.84416,0.67138,0.74467,0.86741,0.89821,0.84943,0.56425,0.345,0.96557,0.63763
60.0:75.0:-0.2:0.6:8.0:0.2:0.95:0.2:0.35:0.2:0.7:0.35,0.99985,0.75054,0.84126,0.76229,0.91767,0.96421,0.66889,0.72255,0.68636,0.63762,0.84131,0.68319,0.78133,0.88032,0.90558,0.8599,0.51269,0.34208,0.9689,0.7172
60.0:90.0:-1.0:0.4:12.0:0.1:0.5:0.7:0.5:0.2:0.2:0.85,1,0.74812,0.84369,0.76543,0.91783,0.96858,0.64778,0.72288,0.67121,0.65594,0.85157,0.69269,0.77767,0.88757,0.91533,0.86095,0.52875,0.3125,0.96886,0.7
75.0:30.0:-1.0:0.2:8.0:0.4:0.2:0.35:0.7:0.2:0.35:0.2,0.99963,0.74946,0.82917,0.75276,0.89283,0.95492,0.66444,0.7281,0.67955,0.62393,0.84501,0.67102,0.76733,0.86893,0.89844,0.85486,0.54061,0.29625,0.96578,0.70108
75.0:45.0:-0.4:0.4:5.0:0.4:0.95:0.95:0.5:0.35:0.5:0.85,0.99985,0.74704,0.83588,0.75086,0.90083,0.96148,0.67444,0.72647,0.66591,0.62096,0.8453,0.67244,0.748,0.86902,0.89695,0.84895,0.52355,0.37167,0.96539,0.67957
75.0:60.0:-0.2:1.0:2.0:0.1:0.5:0.35:0.95:0.35:0.95:0.35,0.99993,0.75121,0.82413,0.75414,0.8995,0.9571,0.63778,0.71928,0.66061,0.62178,0.849,0.67012,0.75667,0.86824,0.89686,0.84762,0.45217,0.32708,0.96601,0.64624
75.0:75.0:-0.6:0.4:3.0:0.2:0.7:0.5:0.35:0.7:0.2:0.1,0.99978,0.75067,0.83397,0.75286,0.89583,0.96066,0.66444,0.72516,0.66894,0.61799,0.84131,0.66855,0.75467,0.8629,0.89859,0.84838,0.62174,0.32625,0.96725,0.67849
75.0:90.0:-0.8:0.6:12.0:0.01:0.7:0.35:0.7:0.95:0.7:0.1,0.99985,0.7457,0.82841,0.75119,0.8935,0.96311,0.63667,0.72124,0.67045,0.61023,0.84444,0.67294,0.744,0.87472,0.89232,0.85105,0.4457,0.3325,0.9652,0.74194
90.0:30.0:-0.4:0.6:3.0:0.1:0.5:0.5:0.7:0.95:0.2:0.2,0.99993,0.74798,0.84086,0.77067,0.91883,0.96831,0.65556,0.71961,0.69394,0.64505,0.85242,0.69237,0.77,0.88386,0.91682,0.85857,0.45494,0.31708,0.96956,0.77419
90.0:45.0:-0.2:0.2:2.0:0.01:0.35:0.7:0.5:0.95:0.7:0.6,0.99985,0.75,0.83044,0.75352,0.898,0.96694,0.65889,0.71732,0.69545,0.61205,0.84672,0.67276,0.753,0.86809,0.89806,0.85038,0.43453,0.36792,0.96576,0.6
90.0:60.0:-1.0:1.0:8.0:0.01:0.95:0.5:0.5:0.5:0.7:0.85,0.99963,0.74409,0.82743,0.75181,0.8985,0.96667,0.65889,0.72255,0.64697,0.6203,0.83932,0.67303,0.75133,0.87418,0.89824,0.85095,0.45526,0.37167,0.96592,0.67312
90.0:75.0:-0.8:0.4:5.0:0.05:0.5:0.35:0.35:0.95:0.7:0.85,0.99993,0.74973,0.83779,0.76381,0.908,0.96257,0.66556,0.72582,0.66061,0.65083,0.84758,0.69246,0.772,0.88251,0.91292,0.86124,0.40788,0.36,0.96915,0.7871
90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,0.99993,0.75108,0.84265,0.76776,0.9185,0.96557,0.65556,0.7219,0.66439,0.64917,0.85185,0.69023,0.77233,0.88789,0.91204,0.85714,0.46649,0.36,0.96964,0.73118
30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,0.9997,0.7496,0.82552,0.76833,0.917,0.9582,0.66111,0.72549,0.68182,0.64158,0.84587,0.69136,0.76967,0.87681,0.91403,0.85924,0.43702,0.34667,0.9684,0.72366
45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,0.99948,0.74973,0.82529,0.75381,0.89017,0.96612,0.67,0.72026,0.67879,0.61997,0.8396,0.66898,0.761,0.87177,0.8972,0.84943,0.4944,0.3325,0.96487,0.7043
75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,0.99985,0.74718,0.81956,0.75695,0.89,0.96284,0.66111,0.72516,0.66136,0.61881,0.85641,0.67119,0.75433,0.87303,0.89485,0.85267,0.59782,0.34083,0.96539,0.65161
60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,0.99985,0.74879,0.84288,0.7589,0.905,0.96694,0.66444,0.72484,0.67652,0.63432,0.85755,0.68475,0.756,0.87939,0.90798,0.85638,0.47954,0.32458,0.96762,0.76452
45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,0.99978,0.75121,0.82726,0.75452,0.90033,0.96284,0.64222,0.72353,0.65985,0.61865,0.84416,0.67138,0.74967,0.87529,0.89595,0.85057,0.37203,0.345,0.96545,0.61505
90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,0.99963,0.74704,0.83536,0.76533,0.91417,0.97049,0.64889,0.72353,0.65985,0.65231,0.85242,0.69243,0.78233,0.88965,0.91293,0.85914,0.45731,0.36292,0.97055,0.75699
75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,0.99985,0.74839,0.825,0.75429,0.89833,0.96393,0.65111,0.71863,0.66288,0.60908,0.84843,0.66829,0.749,0.87446,0.89849,0.85181,0.59137,0.34167,0.96563,0.66667
60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,0.99993,0.74852,0.83657,0.76781,0.91883,0.9612,0.66889,0.72582,0.675,0.65644,0.84103,0.69168,0.78433,0.88855,0.91532,0.86286,0.50815,0.34708,0.96954,0.67634
30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,0.99993,0.74933,0.83692,0.75805,0.8995,0.96448,0.66556,0.72092,0.67273,0.617,0.84501,0.67264,0.754,0.87255,0.9009,0.85562,0.45845,0.32875,0.96797,0.65591
45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,0.99993,0.74785,0.82471,0.75067,0.89917,0.96202,0.69222,0.72026,0.66288,0.6132,0.84359,0.67093,0.75333,0.86995,0.89713,0.85,0.42457,0.40417,0.96679,0.68495
75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,0.99978,0.74704,0.83241,0.75443,0.89817,0.96257,0.66111,0.71536,0.68333,0.60825,0.84188,0.66995,0.75767,0.87188,0.89604,0.8521,0.51144,0.35625,0.96646,0.66452
90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,0.99978,0.74758,0.83814,0.76581,0.91617,0.96339,0.66444,0.72614,0.67879,0.64769,0.84758,0.69074,0.76733,0.88603,0.91199,0.85924,0.5187,0.36708,0.96942,0.7
90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,0.99993,0.74906,0.82378,0.75329,0.893,0.96721,0.64222,0.72092,0.65455,0.62492,0.84387,0.67429,0.75933,0.87308,0.896,0.84952,0.47654,0.38583,0.96592,0.73118
30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,0.99993,0.74368,0.83814,0.76743,0.9175,0.96284,0.65556,0.72549,0.65833,0.64488,0.84644,0.68971,0.77533,0.88321,0.91378,0.8579,0.41893,0.37125,0.96958,0.64516
60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,0.99978,0.74973,0.84282,0.76495,0.9135,0.96339,0.66222,0.72549,0.67045,0.65033,0.84017,0.69266,0.77967,0.88182,0.91514,0.8581,0.44437,0.37083,0.9695,0.70968
30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,0.9997,0.75067,0.83171,0.76662,0.91733,0.96257,0.66222,0.72124,0.68106,0.64818,0.85071,0.69349,0.76833,0.88091,0.91252,0.85981,0.45199,0.35583,0.96898,0.69032
45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,0.99993,0.7457,0.83154,0.75052,0.89183,0.96366,0.65333,0.72124,0.65682,0.61518,0.84786,0.66645,0.74767,0.86986,0.89854,0.84962,0.49155,0.36333,0.96549,0.67849
45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,0.9997,0.7496,0.82679,0.7491,0.88867,0.96475,0.65889,0.72418,0.66212,0.59818,0.83732,0.66833,0.75633,0.87464,0.89783,0.85257,0.34957,0.34083,0.96588,0.69032
90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,0.99993,0.74839,0.82784,0.75576,0.89567,0.96339,0.68556,0.72255,0.66742,0.61535,0.83191,0.67106,0.748,0.87069,0.89652,0.85057,0.47305,0.32917,0.96632,0.6914
60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,0.99985,0.75161,0.82668,0.75738,0.89283,0.96475,0.66222,0.71928,0.66061,0.62261,0.83846,0.66681,0.74967,0.87116,0.89649,0.8461,0.39781,0.31208,0.96617,0.73333
45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,0.99985,0.7539,0.83154,0.75381,0.8965,0.96557,0.64667,0.72451,0.67879,0.61782,0.84815,0.67055,0.74333,0.87143,0.89606,0.85381,0.54064,0.34167,0.96621,0.71075
